0,51.509,-0.16105,38.821,-0.015966,0.04713,0.0094045
0.5,51.509,-0.16105,38.826,0.08007,0.012944,-0.0083511
1,51.509,-0.16105,38.794,0.16147,0.020109,0.0024649
1.5,51.509,-0.16105,38.766,0.33356,0.022117,0.015457
2,51.509,-0.16105,38.725,0.54622,0.040509,0.027622
2.5,51.509,-0.16105,38.73,0.76141,0.051376,0.014469
3,51.509,-0.16105,38.736,0.99698,0.061179,0.003958
3.5,51.509,-0.16104,38.728,1.1109,0.037962,-0.00065335
4,51.509,-0.16104,38.72,1.1732,0.023382,-0.017908
4.5,51.509,-0.16104,38.675,1.2105,0.01596,-0.020441
5,51.509,-0.16104,38.706,1.2226,0.010221,-0.040881
5.5,51.509,-0.16104,38.695,1.241,-0.0045411,-0.04622
6,51.509,-0.16104,38.687,1.2374,0.013128,-0.049702
6.5,51.509,-0.16104,38.685,1.2379,0.01807,-0.044362
7,51.509,-0.16104,38.69,1.2526,0.0070683,-0.036148
7.5,51.509,-0.16104,38.721,1.2524,0.010309,-0.038282
8,51.509,-0.16104,38.703,1.2439,0.0068276,-0.031806
8.5,51.509,-0.16104,38.719,1.2495,0.0029525,-0.037004
9,51.509,-0.16104,38.714,1.2566,0.010205,-0.03798
9.5,51.509,-0.16104,38.687,1.2633,0.022728,-0.030214
10,51.509,-0.16104,38.655,1.2497,0.028686,-0.021351
10.5,51.509,-0.16104,38.646,1.2477,0.023823,-0.012065
11,51.509,-0.16104,38.609,1.259,0.014775,-0.013156
11.5,51.509,-0.16104,38.59,1.2571,0.024068,-0.0049979
12,51.509,-0.16104,38.575,1.2569,0.0095362,-0.0045335
12.5,51.509,-0.16104,38.565,1.2463,-0.0037472,-0.0061289
13,51.509,-0.16104,38.577,1.2431,-0.0019321,-0.012564
13.5,51.509,-0.16104,38.606,1.2436,0.0038145,-0.014358
14,51.509,-0.16104,38.585,1.2569,0.0097243,-0.012585
14.5,51.509,-0.16104,38.603,1.247,-0.015052,-0.0091668
15,51.509,-0.16104,38.577,1.2497,-0.020957,0.0067982
15.5,51.509,-0.16104,38.558,1.2373,-0.01808,0.0016879
16,51.509,-0.16104,38.535,1.2278,-0.0128,0.0046559
16.5,51.509,-0.16104,38.511,1.2337,-0.01087,0.0094771
17,51.509,-0.16104,38.519,1.2224,-0.0070253,0.013311
17.5,51.509,-0.16104,38.526,1.2285,-0.0062086,-0.0069653
18,51.509,-0.16104,38.544,1.2391,-0.0016342,-0.026417
18.5,51.509,-0.16104,38.53,1.2342,-0.0058652,-0.017517
19,51.509,-0.16104,38.514,1.2394,-0.00098273,-0.01582
19.5,51.509,-0.16104,38.525,1.2458,0.0058857,-0.025721
20,51.509,-0.16104,38.548,1.2519,0.0083496,-0.035482
20.5,51.509,-0.16104,38.546,1.2469,0.0080272,-0.033359
21,51.509,-0.16104,38.553,1.2373,0.011435,-0.038174
21.5,51.509,-0.16104,38.581,1.2361,0.0094339,-0.042592
22,51.509,-0.16104,38.555,1.2459,-0.0041443,-0.025769
22.5,51.509,-0.16104,38.514,1.2425,-0.008743,-0.013801
23,51.509,-0.16104,38.504,1.2485,-0.014029,-0.01745
23.5,51.509,-0.16104,38.519,1.2292,0.00080605,-0.027588
24,51.51,-0.16104,38.525,1.2341,0.0050447,-0.023909
